,n_chrom,n_snps,genome bp,missed,percent missed,coverage,unique_mapped_coverage,covered_bp,genome_id,sample_id
GCA_000013645,3,1431,9731138,70330,0.7227315037562925,10.224036284348244,10.298466546483484,9660808,GCA_000013645,SRR606249
GCA_000009705,6,165,7211789,174,0.0024127161790229858,33.73730471038462,33.738118715433366,7211616,GCA_000009705,SRR606249
GCA_000196115,1,28,7145576,104,0.0014554459990349274,134.40592570843833,134.40788194257846,7145472,GCA_000196115,SRR606249
GCA_000018565,3,44,6785430,631,0.009299336961695869,23.43681712139098,23.438996792683174,6784800,GCA_000018565,SRR606249
GCA_002959695,5,1544,6481410,13840,0.2135337835440128,24.52463352881549,24.5771139701619,6467570,GCA_002959695,SRR606249
GCA_000018265,1,45739,5786361,13726,0.23721299103184196,25.67077857741679,25.731817792048172,5772636,GCA_000018265,SRR606249
GCA_000007345,1,78,5751492,117,0.0020342547638073738,19.08413955891793,19.084527786833583,5751376,GCA_000007345,SRR606249
GCA_000021665,4,84864,5358884,3013,0.056224392989286574,19.708914953188014,19.720002404837608,5355872,GCA_000021665,SRR606249
GCA_000195675,1,1182,5339179,82639,1.547784781143318,15.688481880828494,15.935123294029912,5256540,GCA_000195675,SRR606249
GCA_000022185,1,221,5268950,6354,0.12059328708756013,36.05009802712115,36.093624515353255,5262596,GCA_000022185,SRR606249
GCA_000012825,1,83,5163189,101864,1.9728892357029735,19.00437520299954,19.38685640617822,5061326,GCA_000012825,SRR606249
GCA_000016425,1,228,5183331,452948,8.738550557546874,14.788009293637623,16.204004411482114,4730384,GCA_000016425,SRR606249
GCA_000019785,1,150,4909403,23785,0.48447845898982017,26.104825169170265,26.23191313770336,4885618,GCA_000019785,SRR606249
GCA_000010305,1,32,4636964,29,0.0006254092117169769,88.38108167326725,88.38163442015038,4636936,GCA_000010305,SRR606249
GCA_000011965,2,1581,4601048,8585,0.1865879251857403,14.968339604368396,14.996320928442973,4592464,GCA_000011965,SRR606249
GCA_000022565,1,18,4127356,19,0.0004603431349270574,80.06300256144611,80.06337112767869,4127338,GCA_000022565,SRR606249
GCA_000025685,3,208,4012900,8676,0.21620274614368662,27.060359341124872,27.118991345139534,4004224,GCA_000025685,SRR606249
GCA_000152645,8,72886,4010516,14451,0.36032769848069424,145.24687322030383,145.7721305834615,3996066,GCA_000152645,SRR606249
GCA_000007985,1,61,3814128,403,0.010565979956624423,75.16300763896754,75.17095018649745,3813726,GCA_000007985,SRR606249
GCA_000015865,1,92,3843301,503,0.013087707676291813,35.00747794669218,35.012060222785585,3842798,GCA_000015865,SRR606249
GCA_003513425,40,930,3238624,2538,0.07836661495746342,28.319022214372524,28.34123227874661,3236086,GCA_003513425,SRR606249
GCA_001638825,3,113,3344765,20018,0.5984874871627752,20.881283139473176,21.00700745049172,3324748,GCA_001638825,SRR606249
GCA_000020645,1,3275,3018238,529,0.01752678218218709,40.68693688171708,40.694069242594296,3017710,GCA_000020645,SRR606249
GCA_000015125,1,3129,3133902,51329,1.637862319881094,42.001854237943625,42.70124178729912,3082574,GCA_000015125,SRR606249
GCA_000156375,22,229,2867216,43260,1.508780642965162,44.72808047946161,45.41326706223468,2823956,GCA_000156375,SRR606249
GCA_000008185,1,52,2843201,188,0.006612265541549823,61.87513299270787,61.879224611354225,2843014,GCA_000008185,SRR606249
GCA_000022325,1,15786,2931662,695,0.023706689243166504,45.52362584772733,45.534420551306106,2930968,GCA_000022325,SRR606249
GCA_000009145,1,21,2812094,14447,0.5137452730954228,118.66653852965086,119.27933045162597,2797648,GCA_000009145,SRR606249
GCA_000020225,1,4,2664102,383,0.014376326431945924,35.15600040839277,35.16105527647623,2663720,GCA_000020225,SRR606249
GCA_000172575,1,9,2739625,2360,0.08614317652963453,40.781116758680476,40.816277196398595,2737266,GCA_000172575,SRR606249
GCA_000011205,1,39,2694756,5,0.0001855455558870636,99.87790768440631,99.87809300376918,2694752,GCA_000011205,SRR606249
GCA_000020465,1,268,2763181,67801,2.4537299583342533,44.239357103280604,45.35217705852236,2695380,GCA_000020465,SRR606249
GCA_000017325,1,189,5312910,4089821,76.97892492061789,2.029723823667256,8.816807280582196,1223090,GCA_000017325,SRR606249
GCA_000016545,1,138,2970275,261075,8.789590189460572,36.133567767294274,39.61561826369408,2709200,GCA_000016545,SRR606249
GCA_003514505,15,99,2511863,788,0.031371137677492764,38.166101017451986,38.17807791483727,2511076,GCA_003514505,SRR606249
GCA_013137915,1,14,2473944,2486,0.1004873190338989,21.09341601911765,21.114633548294165,2471458,GCA_013137915,SRR606249
GCA_000007225,1,535,2222430,455,0.020473085766480836,89.76228587627057,89.78066674917585,2221976,GCA_000007225,SRR606249
GCA_000019085,1,38,2362816,3139,0.13284995530756522,29.43461149746743,29.47376738426488,2359678,GCA_000019085,SRR606249
GCA_000006985,1,61,2154946,6388,0.2964343422062548,51.28486282254869,51.43734076529468,2148558,GCA_000006985,SRR606249
GCA_000016385,1,96,2121076,14646,0.6904985959956174,53.41739711354049,53.7888080781227,2106430,GCA_000016385,SRR606249
GCA_000008665,1,77,2178400,2,9.18105031215571e-05,121.27075697759824,121.27086831699258,2178398,GCA_000008665,SRR606249
GCA_003054575,5,64,2200312,20367,0.9256414544846367,12.696798454037427,12.815423324900399,2179946,GCA_003054575,SRR606249
GCA_003450455,24,162,2148333,2649,0.12330490664156814,51.178615233299496,51.24179888557681,2145684,GCA_003450455,SRR606249
GCA_001314265,1,30,2378872,3754,0.15780588446961416,34.469501091273514,34.523981966369675,2375118,GCA_001314265,SRR606249
GCA_000016085,1,14,1966858,4801,0.24409489653040534,80.93333529924377,81.13137283983085,1962058,GCA_000016085,SRR606249
GCA_900637325,1,20,2150449,2871,0.13350700249110767,42.546265919349864,42.60314410000475,2147578,GCA_900637325,SRR606249
GCA_000021565,1,36,1983966,90,0.00453636806275914,73.52208707205668,73.52542245583898,1983876,GCA_000021565,SRR606249
GCA_000015805,1,24,2009313,4982,0.24794544204909838,76.98131152289365,77.17265760994567,2004332,GCA_000015805,SRR606249
GCA_000152605,4,223,3548498,2309138,65.07367342464333,9.8849180695607,28.30219790859799,1239360,GCA_000152605,SRR606249
GCA_000018945,1,4124,1884562,34,0.0018041327374742778,149.5642334929814,149.56693187896386,1884528,GCA_000018945,SRR606249
GCA_000021645,1,6,1855560,1175,0.06332320162107397,48.586549074133956,48.6173351272794,1854386,GCA_000021645,SRR606249
GCA_000007305,1,1404,1908256,992,0.051984639377525864,86.62944070397263,86.6744981292574,1907264,GCA_000007305,SRR606249
GCA_000020325,1,27899,1838442,1898,0.10323959091448084,66.31336969020508,66.38190209436856,1836544,GCA_000020325,SRR606249
GCA_000016125,1,19130,1789046,38,0.0021240370566212386,63.0506079776596,63.05194722438357,1789008,GCA_000016125,SRR606249
GCA_000011105,1,16,1738505,8963,0.5155579075124892,130.60112452940888,131.27793832124343,1729542,GCA_000011105,SRR606249
GCA_000091665,2,65,1739927,704,0.04046146763628589,63.15947105826854,63.18503665142423,1739224,GCA_000091665,SRR606249
GCA_000019625,1,10431,1877693,150939,8.038534520818898,248.99821216780379,270.7636409123708,1726754,GCA_000019625,SRR606249
GCA_000007185,1,38,1694969,248,0.014631536033992362,60.47160567538403,60.48045489493551,1694722,GCA_000007185,SRR606249
GCA_000020785,1,91,1559514,180,0.011542057333246127,91.92086637247245,91.93147715627312,1559334,GCA_000020785,SRR606249
GCA_000011585,1,54,1661137,165783,9.980091949068619,26.341466718277903,29.261823621697605,1495354,GCA_000011585,SRR606249
GCA_000025665,1,191,1486778,12,0.0008071144447926994,75.61187077021586,75.61248104947248,1486766,GCA_000025665,SRR606249
GCA_000017945,1,13,1297538,778,0.05995970830912081,24.614486820424528,24.62925444955119,1296760,GCA_000017945,SRR606249
GCA_000173615,93,232,1534471,840271,54.759653326781674,4.371024281332133,9.661783347738403,694200,GCA_000173615,SRR606249
GCA_000016785,1,64,1823511,1113025,61.037471120272926,15.409574716028585,39.54972934019812,710486,GCA_000016785,SRR606249
GCA_009717815,9,20450,2107852,1030068,48.868136852112954,1.0930435343657905,2.137695493716737,1077784,GCA_009717815,SRR606249
GCA_000008085,1,16,490885,1553,0.3163673772879595,303.5326726218972,304.49599862669925,489332,GCA_000008085,SRR606249
GCA_000015485,2,3018,3661391,3306783,90.31493768351973,2.0701476569970265,21.374644678067053,354609,GCA_000015485,SRR606249
GCA_002799245,10,98,4746430,4444577,93.64042027376365,0.08600421790693216,1.3523569419551895,301854,GCA_002799245,SRR606249
GCA_000507765,5,2880,2189561,2008546,91.73281767441053,0.1472893424755008,1.7816147833052498,181016,GCA_000507765,SRR606249
GCA_003228185,18,104,13154086,12894013,98.02287289287906,0.027223480217477673,1.3769210952309547,260073,GCA_003228185,SRR606249
GCA_900115135,14,17354,3173070,2747903,86.60076834107032,3.649550435382768,27.23701275028401,425167,GCA_900115135,SRR606249
GCA_013135395,45,502,4513945,4327042,95.85943116276339,0.06193052861742888,1.4957009785824713,186904,GCA_013135395,SRR606249
GCA_003470855,4,1206,2083002,2013048,96.64167389181576,0.05873926189221134,1.7490636704119824,69954,GCA_003470855,SRR606249
