,k=31
21.fa,1.0
48.fa,1.0
12.fa,0.9998
13.fa,0.9997
59.fa,0.9996
11.fa,0.9995
1.fa,0.9995
56.fa,0.9995
15.fa,0.9995
36.fa,0.9994
62.fa,0.9994
30.fa,0.9994
39.fa,0.9993
60.fa,0.9993
53.fa,0.9992
50.fa,0.9992
31.fa,0.9991
22.fa,0.9991
8.fa,0.9991
43.fa,0.9991
52.fa,0.9989
14.fa,0.9988
2.fa,0.9986
57.fa,0.9985
18.fa,0.9985
42.fa,0.9982
4.fa,0.998
0.fa,0.9974
61.fa,0.996
26.fa,0.9959
34.fa,0.9945
3.fa,0.9942
28.fa,0.994
25.fa,0.9939
9.fa,0.993
37.fa,0.9928
40.fa,0.9928
51.fa,0.9913
41.fa,0.9911
10.fa,0.9901
29.fa,0.9894
54.fa,0.9842
27.fa,0.9784
45.fa,0.9779
46.fa,0.9778
47.fa,0.9743
16.fa,0.9672
35.fa,0.9541
38.fa,0.9535
63.fa,0.9499
6.fa,0.9326
7.fa,0.9033
32.fa,0.8937
5.fa,0.8911
24.fa,0.8908
33.fa,0.7814
55.fa,0.7366
19.fa,0.6212
17.fa,0.6004
44.fa,0.5815
58.fa,0.5699
49.fa,0.5581
23.fa,0.5251
20.fa,0.1338
66.fa,0.1279
67.fa,0.1257
64.fa,0.019
65.fa,0.0106
