,k=51
0.fa,1.0
48.fa,1.0
62.fa,0.9999
21.fa,0.9997
18.fa,0.9995
60.fa,0.9994
13.fa,0.9994
12.fa,0.9994
53.fa,0.9993
8.fa,0.9993
40.fa,0.9992
42.fa,0.9992
22.fa,0.9992
11.fa,0.9992
10.fa,0.999
30.fa,0.9989
15.fa,0.9988
52.fa,0.9988
56.fa,0.9987
57.fa,0.9987
59.fa,0.9984
36.fa,0.9984
31.fa,0.9983
29.fa,0.9983
51.fa,0.9982
39.fa,0.9979
25.fa,0.9978
1.fa,0.9975
2.fa,0.9972
9.fa,0.9961
38.fa,0.9953
61.fa,0.9943
3.fa,0.9943
28.fa,0.9942
54.fa,0.9939
33.fa,0.9939
37.fa,0.9929
14.fa,0.9919
50.fa,0.9916
43.fa,0.9893
41.fa,0.9822
34.fa,0.9819
24.fa,0.9792
5.fa,0.9784
27.fa,0.9577
46.fa,0.9488
45.fa,0.9458
16.fa,0.9366
4.fa,0.9325
26.fa,0.9319
47.fa,0.9194
49.fa,0.8902
58.fa,0.8878
63.fa,0.8789
35.fa,0.8333
7.fa,0.8214
44.fa,0.6644
55.fa,0.6564
6.fa,0.6457
32.fa,0.5967
23.fa,0.5654
17.fa,0.5598
19.fa,0.5534
66.fa,0.0768
67.fa,0.0672
20.fa,0.0577
64.fa,0.0125
65.fa,0.0057
