,intersection,containment index,jaccard index
b'data/refs/21.fa',9904.0,0.9904,0.014077244938899036
b'data/refs/48.fa',9904.0,0.9904,0.005365276718946606
b'data/refs/29.fa',9904.0,0.9904,0.005279446653330765
b'data/refs/54.fa',9904.0,0.9904,0.0
b'data/refs/18.fa',9904.0,0.9904,0.005556349594930516
b'data/refs/0.fa',9903.0,0.9903,0.012357936370502146
b'data/refs/12.fa',9903.0,0.9903,0.005882461088216785
b'data/refs/13.fa',9903.0,0.9903,0.0
b'data/refs/62.fa',9903.0,0.9903,0.00810334097666503
b'data/refs/2.fa',9903.0,0.9903,0.007972856121369318
b'data/refs/43.fa',9902.0,0.9902,0.021559612021334152
b'data/refs/52.fa',9902.0,0.9902,0.005539161662510872
b'data/refs/39.fa',9902.0,0.9902,0.00651433859302012
b'data/refs/1.fa',9902.0,0.9902,0.00451488263698963
b'data/refs/59.fa',9902.0,0.9902,0.010621248928367643
b'data/refs/15.fa',9902.0,0.9902,0.010938838349010003
b'data/refs/11.fa',9902.0,0.9902,0.00904354110038255
b'data/refs/56.fa',9901.0,0.9901,0.008543198505530005
b'data/refs/53.fa',9901.0,0.9901,0.005784024401527921
b'data/refs/30.fa',9900.0,0.99,0.004921613893277555
b'data/refs/57.fa',9900.0,0.99,0.006219118919856896
b'data/refs/14.fa',9899.0,0.9899,0.015547228066714647
b'data/refs/40.fa',9899.0,0.9899,0.006154623252126429
b'data/refs/36.fa',9899.0,0.9899,0.008980370871571976
b'data/refs/37.fa',9899.0,0.9899,0.006606396734272061
b'data/refs/50.fa',9899.0,0.9899,0.006871808606705777
b'data/refs/8.fa',9898.0,0.9898,0.008547353449420446
b'data/refs/60.fa',9898.0,0.9898,0.011599541856622654
b'data/refs/22.fa',9897.0,0.9897,0.011570334966741602
b'data/refs/31.fa',9897.0,0.9897,0.005133746070880629
b'data/refs/10.fa',9895.0,0.9895,0.008061348659309249
b'data/refs/42.fa',9894.0,0.9894,0.0052009239451752285
b'data/refs/51.fa',9891.0,0.9891,0.005655357296684995
b'data/refs/9.fa',9890.0,0.989,0.00843934812511882
b'data/refs/3.fa',9890.0,0.989,0.006550636352576252
b'data/refs/26.fa',9890.0,0.989,0.00393856083973129
b'data/refs/28.fa',9889.0,0.9889,4.991030009082067e-05
b'data/refs/25.fa',9888.0,0.9888,0.004664079457333181
b'data/refs/4.fa',9884.0,0.9884,0.01853696774363776
b'data/refs/61.fa',9884.0,0.9884,0.008569115644213606
b'data/refs/35.fa',9884.0,0.9884,0.021452601317135032
b'data/refs/38.fa',9881.0,0.9881,0.0066430505653357645
b'data/refs/33.fa',9876.0,0.9876,0.001483866340125399
b'data/refs/24.fa',9870.0,0.987,0.020356022240272456
b'data/refs/5.fa',9866.0,0.9866,0.014856707005828492
b'data/refs/41.fa',9861.0,0.9861,0.005578819794447941
b'data/refs/34.fa',9856.0,0.9856,0.008180821491484984
b'data/refs/32.fa',9844.0,0.9844,0.016610198563231055
b'data/refs/49.fa',9834.0,0.9834,0.0044650926007152505
b'data/refs/23.fa',9765.0,0.9765,0.01164907342449139
b'data/refs/27.fa',9703.0,0.9703,0.014303473007639931
b'data/refs/46.fa',9692.0,0.9692,0.015196999500461291
b'data/refs/45.fa',9688.0,0.9688,0.016754150079440366
b'data/refs/47.fa',9656.0,0.9656,0.015449963789164214
b'data/refs/16.fa',9585.0,0.9585,0.009651637345531573
b'data/refs/44.fa',9495.0,0.9495,0.013206383830768872
b'data/refs/63.fa',9418.0,0.9418,0.014767367898218513
b'data/refs/58.fa',9326.0,0.9326,0.006279255497963493
b'data/refs/6.fa',9244.0,0.9244,0.01504837720592238
b'data/refs/7.fa',8953.0,0.8953,0.025672008770505947
b'data/refs/17.fa',7558.0,0.7558,0.008334846428923175
b'data/refs/55.fa',7297.0,0.7297,0.004142159087254408
b'data/refs/19.fa',6157.0,0.6157,0.006203175903879034
b'data/refs/20.fa',1312.0,0.1312,0.0008353717591270756
b'data/refs/66.fa',1265.0,0.1265,0.0011932892891416496
b'data/refs/67.fa',1252.0,0.1252,0.0007685093821170537
b'data/refs/64.fa',180.0,0.018,0.0001387647314699686
b'data/refs/65.fa',117.0,0.0117,0.00018206108627504455
