,intersection,containment index,jaccard index
b'data/refs/2.fa',9903.0,0.9903,0.008294081766394531
b'data/refs/21.fa',9903.0,0.9903,0.014514698726119752
b'data/refs/29.fa',9903.0,0.9903,0.005573139297161262
b'data/refs/59.fa',9903.0,0.9903,0.011152466305271256
b'data/refs/12.fa',9903.0,0.9903,0.006175635042257975
b'data/refs/15.fa',9903.0,0.9903,0.011646463977400587
b'data/refs/43.fa',9903.0,0.9903,0.022095912941348467
b'data/refs/48.fa',9903.0,0.9903,0.005621355861298619
b'data/refs/54.fa',9903.0,0.9903,0.0
b'data/refs/1.fa',9902.0,0.9902,0.004617397962683146
b'data/refs/40.fa',9902.0,0.9902,0.006360966561926251
b'data/refs/50.fa',9902.0,0.9902,0.007087846970245006
b'data/refs/0.fa',9902.0,0.9902,0.012960755587578568
b'data/refs/18.fa',9902.0,0.9902,0.005895010289639857
b'data/refs/14.fa',9902.0,0.9902,0.015984400342155626
b'data/refs/36.fa',9901.0,0.9901,0.009359346444563035
b'data/refs/57.fa',9901.0,0.9901,0.006581277698379831
b'data/refs/13.fa',9901.0,0.9901,0.0
b'data/refs/62.fa',9901.0,0.9901,0.008282739920988262
b'data/refs/30.fa',9901.0,0.9901,0.0052545297898152635
b'data/refs/53.fa',9900.0,0.99,0.005888291066649166
b'data/refs/52.fa',9900.0,0.99,0.005746801131131863
b'data/refs/56.fa',9900.0,0.99,0.008878326318310861
b'data/refs/42.fa',9900.0,0.99,0.0054969908071143886
b'data/refs/37.fa',9900.0,0.99,0.006895127509049475
b'data/refs/4.fa',9900.0,0.99,0.019450282213589756
b'data/refs/11.fa',9900.0,0.99,0.009311676830794171
b'data/refs/22.fa',9899.0,0.9899,0.01206237462076907
b'data/refs/39.fa',9899.0,0.9899,0.006662981437673578
b'data/refs/8.fa',9898.0,0.9898,0.00870436596859702
b'data/refs/35.fa',9897.0,0.9897,0.02246605967701725
b'data/refs/9.fa',9896.0,0.9896,0.008913523852783828
b'data/refs/26.fa',9896.0,0.9896,0.004090813376373642
b'data/refs/60.fa',9896.0,0.9896,0.012455133839350357
b'data/refs/51.fa',9895.0,0.9895,0.005868134224462004
b'data/refs/28.fa',9895.0,0.9895,5.237240814303668e-05
b'data/refs/31.fa',9893.0,0.9893,0.005429558497821587
b'data/refs/25.fa',9893.0,0.9893,0.004851849489145108
b'data/refs/10.fa',9893.0,0.9893,0.008562583023565194
b'data/refs/61.fa',9892.0,0.9892,0.00899537316986942
b'data/refs/3.fa',9891.0,0.9891,0.006851270683522003
b'data/refs/24.fa',9888.0,0.9888,0.02080647896747913
b'data/refs/38.fa',9887.0,0.9887,0.007033194271530716
b'data/refs/41.fa',9883.0,0.9883,0.005910450378191074
b'data/refs/5.fa',9879.0,0.9879,0.015724100883972438
b'data/refs/33.fa',9878.0,0.9878,0.0015479190202230065
b'data/refs/49.fa',9872.0,0.9872,0.004568196947412234
b'data/refs/32.fa',9870.0,0.987,0.017405277178757207
b'data/refs/34.fa',9842.0,0.9842,0.008504216867819114
b'data/refs/23.fa',9821.0,0.9821,0.012334813390280787
b'data/refs/47.fa',9760.0,0.976,0.016362464895865757
b'data/refs/45.fa',9760.0,0.976,0.01782336048233617
b'data/refs/46.fa',9753.0,0.9753,0.01598184491759599
b'data/refs/27.fa',9739.0,0.9739,0.015227828852580264
b'data/refs/16.fa',9674.0,0.9674,0.010200384687536857
b'data/refs/63.fa',9620.0,0.962,0.015933152234782498
b'data/refs/44.fa',9616.0,0.9616,0.013998480254808477
b'data/refs/58.fa',9495.0,0.9495,0.0065777903867275
b'data/refs/6.fa',9366.0,0.9366,0.015713998920777215
b'data/refs/7.fa',9210.0,0.921,0.027875203499885755
b'data/refs/17.fa',8062.0,0.8062,0.00927700714340854
b'data/refs/55.fa',7777.0,0.7777,0.004658831559644964
b'data/refs/19.fa',6471.0,0.6471,0.006744334426310974
b'data/refs/20.fa',2236.0,0.2236,0.0015016699403814333
b'data/refs/66.fa',1898.0,0.1898,0.0018943234523463323
b'data/refs/67.fa',1785.0,0.1785,0.0011416045250829696
b'data/refs/64.fa',253.0,0.0253,0.00019991607950369433
b'data/refs/65.fa',132.0,0.0132,0.00021005270390812438
