,intersection,containment index,jaccard index
b'data/refs/18.fa',4952.0,0.9904,0.005896207980711632
b'data/refs/40.fa',4952.0,0.9904,0.0063622595202542645
b'data/refs/62.fa',4952.0,0.9904,0.008285270381950004
b'data/refs/59.fa',4952.0,0.9904,0.011153605036616263
b'data/refs/12.fa',4952.0,0.9904,0.006176262506398682
b'data/refs/54.fa',4952.0,0.9904,0.0
b'data/refs/15.fa',4952.0,0.9904,0.011647653729794507
b'data/refs/53.fa',4952.0,0.9904,0.005890684188721785
b'data/refs/1.fa',4952.0,0.9904,0.0046183348890925175
b'data/refs/29.fa',4952.0,0.9904,0.005573705206717223
b'data/refs/48.fa',4952.0,0.9904,0.00562192669424943
b'data/refs/2.fa',4952.0,0.9904,0.008294926245902046
b'data/refs/43.fa',4952.0,0.9904,0.022098193481861515
b'data/refs/21.fa',4952.0,0.9904,0.014516185689341815
b'data/refs/35.fa',4951.0,0.9902,0.022477664731192386
b'data/refs/0.fa',4951.0,0.9902,0.012960755587578568
b'data/refs/42.fa',4951.0,0.9902,0.005498107415973589
b'data/refs/50.fa',4951.0,0.9902,0.007087846970245006
b'data/refs/57.fa',4951.0,0.9902,0.00658194678183786
b'data/refs/30.fa',4951.0,0.9902,0.005255063285692084
b'data/refs/4.fa',4951.0,0.9902,0.019454288006237344
b'data/refs/22.fa',4951.0,0.9902,0.01206607436421688
b'data/refs/13.fa',4951.0,0.9902,0.0
b'data/refs/14.fa',4951.0,0.9902,0.015984400342155626
b'data/refs/8.fa',4950.0,0.99,0.008706140094157367
b'data/refs/26.fa',4950.0,0.99,0.004092473665347928
b'data/refs/11.fa',4950.0,0.99,0.009311676830794171
b'data/refs/56.fa',4950.0,0.99,0.008878326318310861
b'data/refs/36.fa',4950.0,0.99,0.00935839230509426
b'data/refs/37.fa',4950.0,0.99,0.006895127509049475
b'data/refs/39.fa',4950.0,0.99,0.0066636590193761775
b'data/refs/52.fa',4950.0,0.99,0.005746801131131863
b'data/refs/61.fa',4949.0,0.9898,0.009000878430340633
b'data/refs/28.fa',4948.0,0.9896,5.2377701235637926e-05
b'data/refs/60.fa',4948.0,0.9896,0.012455133839350357
b'data/refs/9.fa',4947.0,0.9894,0.008911706359137912
b'data/refs/31.fa',4947.0,0.9894,0.005430110306332592
b'data/refs/25.fa',4946.0,0.9892,0.004851356677304255
b'data/refs/3.fa',4946.0,0.9892,0.0068519681069748135
b'data/refs/10.fa',4946.0,0.9892,0.008561710093879855
b'data/refs/51.fa',4946.0,0.9892,0.005866344666486551
b'data/refs/38.fa',4945.0,0.989,0.007035343358779064
b'data/refs/5.fa',4944.0,0.9888,0.015738651364105266
b'data/refs/24.fa',4941.0,0.9882,0.020793591151711872
b'data/refs/33.fa',4940.0,0.988,0.0015482329128246254
b'data/refs/41.fa',4940.0,0.988,0.005908645650941723
b'data/refs/49.fa',4935.0,0.987,0.0045672672348669235
b'data/refs/32.fa',4932.0,0.9864,0.017394512416757962
b'data/refs/34.fa',4924.0,0.9848,0.008509445428906599
b'data/refs/23.fa',4907.0,0.9814,0.012325913282489992
b'data/refs/47.fa',4882.0,0.9764,0.016369280595322718
b'data/refs/45.fa',4881.0,0.9762,0.017827077920639138
b'data/refs/27.fa',4877.0,0.9754,0.015251640452677476
b'data/refs/46.fa',4870.0,0.974,0.01596020235231825
b'data/refs/16.fa',4846.0,0.9692,0.010219558070418959
b'data/refs/44.fa',4811.0,0.9622,0.014007337094463146
b'data/refs/63.fa',4807.0,0.9614,0.015923056482151886
b'data/refs/58.fa',4751.0,0.9502,0.006582671653578194
b'data/refs/6.fa',4700.0,0.94,0.01577194281713086
b'data/refs/7.fa',4650.0,0.93,0.028155269011480296
b'data/refs/17.fa',4024.0,0.8048,0.009260748042891525
b'data/refs/55.fa',3871.0,0.7742,0.004637767481619965
b'data/refs/19.fa',3201.0,0.6402,0.006671940063264376
b'data/refs/20.fa',1124.0,0.2248,0.0015097411590216715
b'data/refs/66.fa',929.0,0.1858,0.0018543269055119429
b'data/refs/67.fa',910.0,0.182,0.0011640149833154244
b'data/refs/64.fa',123.0,0.0246,0.00019438372938686608
b'data/refs/65.fa',70.0,0.014,0.00022278600698153554
