,intersection,containment index,jaccard index
b'data/refs/0.fa',990.0,0.99,0.012354146425598801
b'data/refs/37.fa',990.0,0.99,0.006607068523912447
b'data/refs/39.fa',990.0,0.99,0.006513014261254177
b'data/refs/1.fa',990.0,0.99,0.004513966607366029
b'data/refs/40.fa',990.0,0.99,0.006155248821021231
b'data/refs/31.fa',990.0,0.99,0.005135310214393668
b'data/refs/30.fa',990.0,0.99,0.004921613893277555
b'data/refs/43.fa',990.0,0.99,0.021555163559814308
b'data/refs/29.fa',990.0,0.99,0.005277303152565904
b'data/refs/28.fa',990.0,0.99,4.996582043998631e-05
b'data/refs/48.fa',990.0,0.99,0.00536309818452626
b'data/refs/51.fa',990.0,0.99,0.005660532337294222
b'data/refs/52.fa',990.0,0.99,0.005538036670036034
b'data/refs/53.fa',990.0,0.99,0.0057834368370454125
b'data/refs/54.fa',990.0,0.99,0.0
b'data/refs/22.fa',990.0,0.99,0.011573882783858128
b'data/refs/21.fa',990.0,0.99,0.014071479457234306
b'data/refs/2.fa',990.0,0.99,0.007970421585426908
b'data/refs/57.fa',990.0,0.99,0.006219118919856896
b'data/refs/18.fa',990.0,0.99,0.0055540930480494225
b'data/refs/59.fa',990.0,0.99,0.010619080874069578
b'data/refs/15.fa',990.0,0.99,0.010936604765471196
b'data/refs/13.fa',990.0,0.99,0.0
b'data/refs/12.fa',990.0,0.99,0.005880668584765607
b'data/refs/62.fa',990.0,0.99,0.008100866276556484
b'data/refs/8.fa',990.0,0.99,0.008549095301428658
b'data/refs/36.fa',990.0,0.99,0.008981286219198274
b'data/refs/56.fa',989.0,0.989,0.008533626024706559
b'data/refs/60.fa',989.0,0.989,0.01159005793565376
b'data/refs/61.fa',989.0,0.989,0.008574362056806232
b'data/refs/42.fa',989.0,0.989,0.0051988103561061184
b'data/refs/4.fa',989.0,0.989,0.01854842917587793
b'data/refs/11.fa',989.0,0.989,0.009032482453571777
b'data/refs/14.fa',989.0,0.989,0.015532873233832059
b'data/refs/35.fa',989.0,0.989,0.02146590348272779
b'data/refs/9.fa',988.0,0.988,0.00843074297031599
b'data/refs/10.fa',988.0,0.988,0.008049029960931998
b'data/refs/3.fa',988.0,0.988,0.006543969513832911
b'data/refs/24.fa',988.0,0.988,0.020377066635674585
b'data/refs/26.fa',988.0,0.988,0.00393456280398335
b'data/refs/50.fa',988.0,0.988,0.006858528493266553
b'data/refs/5.fa',987.0,0.987,0.014862819926796163
b'data/refs/25.fa',987.0,0.987,0.004655549493783259
b'data/refs/38.fa',987.0,0.987,0.006635606132226115
b'data/refs/32.fa',987.0,0.987,0.01665480012668184
b'data/refs/33.fa',987.0,0.987,0.0014829635048521582
b'data/refs/34.fa',986.0,0.986,0.008184168802651997
b'data/refs/41.fa',986.0,0.986,0.005578250892728952
b'data/refs/49.fa',984.0,0.984,0.004467829050911193
b'data/refs/23.fa',976.0,0.976,0.011643039269835051
b'data/refs/27.fa',975.0,0.975,0.014373752939306093
b'data/refs/45.fa',971.0,0.971,0.01679283515321378
b'data/refs/47.fa',964.0,0.964,0.01542396832347863
b'data/refs/46.fa',962.0,0.962,0.015082401183751882
b'data/refs/16.fa',960.0,0.96,0.009666887640741745
b'data/refs/44.fa',952.0,0.952,0.013241616210171137
b'data/refs/63.fa',936.0,0.936,0.01467508963743508
b'data/refs/6.fa',934.0,0.934,0.015207032870546266
b'data/refs/58.fa',929.0,0.929,0.0062548648556591925
b'data/refs/7.fa',896.0,0.896,0.025692596408763063
b'data/refs/17.fa',737.0,0.737,0.00812583823627525
b'data/refs/55.fa',714.0,0.714,0.004052676490416381
b'data/refs/19.fa',615.0,0.615,0.006196079707852795
b'data/refs/67.fa',129.0,0.129,0.0007918532170150222
b'data/refs/20.fa',118.0,0.118,0.0007512620692062462
b'data/refs/66.fa',107.0,0.107,0.0010091578790595878
b'data/refs/64.fa',24.0,0.024,0.0001850282004228068
b'data/refs/65.fa',13.0,0.013,0.00020229418807223034
