,n_chrom,n_snps,genome bp,missed,percent missed,coverage,unique_mapped_coverage,covered_bp,genome_id,sample_id
GCA_000013645,3,1316,9731138,70487,0.7243448813489234,10.339472834523567,10.414912721720306,9660652,GCA_000013645,SRR606249
GCA_000009705,6,169,7211789,51,0.0007071754317825992,34.02234397040734,34.02258456976668,7211738,GCA_000009705,SRR606249
GCA_000196115,1,46,7145576,2,2.7989346135287065e-05,134.76595336751018,134.7659910876299,7145574,GCA_000196115,SRR606249
GCA_000018565,3,56,6785430,463,0.006823443761117571,23.732303037537783,23.73392250839245,6784968,GCA_000018565,SRR606249
GCA_002959695,5,2009,6481410,20737,0.31994581425955154,24.85503262407408,24.934810506583446,6460674,GCA_002959695,SRR606249
GCA_000018265,1,71979,5786361,13210,0.22829546929408656,27.404559273090634,27.467265796442877,5773152,GCA_000018265,SRR606249
GCA_000007345,1,76,5751492,97,0.0016865189067462843,19.115711018984292,19.11603341450205,5751396,GCA_000007345,SRR606249
GCA_000021665,4,101229,5358884,1721,0.0321148955640764,20.7390926916873,20.745755169293897,5357164,GCA_000021665,SRR606249
GCA_000195675,1,1317,5339179,78448,1.4692895668041848,16.694378667581663,16.943325176672214,5260732,GCA_000195675,SRR606249
GCA_000022185,1,221,5268950,5693,0.10804809307357253,36.525541331764394,36.56504917012413,5263258,GCA_000022185,SRR606249
GCA_000012825,1,2331,5163189,39,0.0007553471313949577,20.480569663438622,20.480724364002594,5163150,GCA_000012825,SRR606249
GCA_000016425,1,73967,5183331,9554,0.1843216263827257,28.00516521132839,28.056880109057655,5173778,GCA_000016425,SRR606249
GCA_000019785,1,454,4909403,18479,0.3764001447833881,27.722955520253684,27.827699019653544,4890924,GCA_000019785,SRR606249
GCA_000010305,1,98,4636964,8,0.00017252667909433846,89.33274422661034,89.33289834969321,4636956,GCA_000010305,SRR606249
GCA_000011965,2,2161,4601048,7912,0.17196082283862285,16.195522628757622,16.2234205562387,4593136,GCA_000011965,SRR606249
GCA_000022565,1,80,4127356,0,0.0,81.12393600164367,81.12393600164367,4127356,GCA_000022565,SRR606249
GCA_000025685,3,214,4012900,8626,0.2149567644346981,27.18252560492412,27.24108215371875,4004274,GCA_000025685,SRR606249
