,n_chrom,n_snps,genome bp,missed,percent missed,coverage,unique_mapped_coverage,covered_bp,genome_id,sample_id
GCA_003446605,194,8475,2659334,9492,0.3569314723160009,11.973632871989754,12.016523626691704,2649842,GCA_003446605,SRR1976948
GCA_003500195,225,11808,2512164,10606,0.4221858127096798,13.339578546623548,13.396135128587863,2501558,GCA_003500195,SRR1976948
GCA_002503885,152,41018,2582043,8340,0.32300004298921436,111.45866664497841,111.81984479172615,2573704,GCA_002503885,SRR1976948
GCA_003451675,99,6608,2569411,2083,0.08106916332186637,180.85028008364563,180.99701284759874,2567328,GCA_003451675,SRR1976948
GCA_003445665,112,118246,2541804,5481,0.21563425031985156,188.35526932839826,188.76230551077288,2536324,GCA_003445665,SRR1976948
GCA_001508695,265,89043,2629228,35241,1.340355419917938,32.83117972271709,33.27721264601558,2593988,GCA_001508695,SRR1976948
GCA_001509375,104,2824,2382964,76,0.0031893054196370572,527.1992560525463,527.2160705832586,2382888,GCA_001509375,SRR1976948
GCA_002305765,112,31350,3568523,564996,15.832768907472364,4.647858791998819,5.522171433784347,3003528,GCA_002305765,SRR1976948
GCA_001508275,127,8897,2228088,180,0.00807867552807609,18.119278053649587,18.12074196959659,2227908,GCA_001508275,SRR1976948
GCA_003454055,292,2672,2358604,8979,0.38069129027170306,7.887597494110923,7.917739639304145,2349626,GCA_003454055,SRR1976948
GCA_001508575,64,16308,2118879,624,0.02944953440002945,101.42624095099343,101.45611930574931,2118256,GCA_001508575,SRR1976948
GCA_002896535,139,111272,3205299,227976,7.112472190581908,16.206176085288767,17.447095931479385,2977324,GCA_002896535,SRR1976948
GCA_001509005,217,10780,2173293,1,4.6013123863188255e-05,17.367773236282453,17.36778122774114,2173292,GCA_001509005,SRR1976948
GCA_003512065,188,31157,2087471,30021,1.4381517156406005,48.8903438658549,49.60372062504557,2057450,GCA_003512065,SRR1976948
GCA_002435945,90,106153,2866329,229307,8.000023723724667,38.613316545309345,41.9710070678212,2637022,GCA_002435945,SRR1976948
GCA_003513845,91,85152,2115883,5963,0.281820875728951,59.11050138405574,59.27755791688785,2109920,GCA_003513845,SRR1976948
GCA_003485325,74,4539,2119431,6577,0.31031913754210444,392.8414933064582,394.0643503999803,2112854,GCA_003485325,SRR1976948
GCA_011620455,263,11890,2456450,357311,14.545828329499889,3.2980199067760387,3.8594018785797415,2099140,GCA_011620455,SRR1976948
GCA_001508395,286,21202,1772227,72,0.004062684972071862,21.858083078522107,21.858971139657648,1772156,GCA_001508395,SRR1976948
